epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.3230965107746946,46.03174603174603,0.8519824910416174,67.1957671957672,0.001
2,0.6174054492493065,79.93197278911565,0.3516800542357107,88.88888888888889,0.001
3,0.2927609981457933,93.19727891156462,0.16300996791118036,94.70899470899471,0.001
4,0.277325106856504,93.19727891156462,0.06627295793048919,98.4126984126984,0.001
5,0.1408322875022618,97.1655328798186,0.08612601190963119,97.88359788359789,0.001
6,0.09256030588733907,97.95918367346938,0.09871659171644342,97.88359788359789,0.001
7,0.14605188879972142,96.48526077097506,0.16428137456298506,94.17989417989418,0.001
8,0.10594087955700297,98.07256235827666,0.04018801588703085,98.4126984126984,0.001
9,0.10139857603410204,97.95918367346938,0.004643172365687196,100.0,0.001
10,0.10262860078998164,97.84580498866214,0.14174730898368926,95.76719576719577,0.001
11,0.10948416890572259,97.84580498866214,0.27070392668247223,94.17989417989418,0.001
12,0.045192227494013824,98.86621315192744,0.2289190384455853,95.76719576719577,0.001
13,0.10160340741276741,97.73242630385488,0.28793541720462223,94.70899470899471,0.001
14,0.0716331728560905,98.86621315192744,0.0017190938821634051,100.0,0.001
15,0.03631118899992669,99.20634920634922,0.0008975763040811573,100.0,0.001
16,0.016428991449498435,99.77324263038548,0.0030261637500078277,100.0,0.001
17,0.03272072555362131,99.20634920634922,0.0017125311805915935,100.0,0.001
18,0.022649584135332076,99.20634920634922,0.0006733839492505741,100.0,0.001
19,0.03567965853433473,99.43310657596372,0.0003484223688097681,100.0,0.001
20,0.03674224117673646,99.31972789115646,0.0004210751043280301,100.0,0.001
21,0.03180157993719522,99.54648526077098,0.0002856300938960717,100.0,0.001
22,0.015228340009838774,99.54648526077098,0.027970213645073787,99.47089947089947,0.001
23,0.09234421311343372,98.29931972789116,0.06587121629762271,97.35449735449735,0.001
24,0.089793607078877,98.1859410430839,0.0008729428518563509,100.0,0.001
25,0.04392167611170113,99.31972789115646,0.09219432895647106,97.35449735449735,0.001
26,0.17853499406129292,96.82539682539682,0.058757362769000114,97.88359788359789,0.001
27,0.19786917215663002,96.03174603174604,0.15836684281627336,97.35449735449735,0.0005
28,0.04977591813155482,99.20634920634922,0.0006409310498619797,100.0,0.0005
29,0.00340094542988236,100.0,0.00029842222260961695,100.0,0.0005
30,0.0028266590067487457,100.0,0.0002278582800904082,100.0,0.0005
31,0.0018549587600283713,100.0,0.0001891250300181724,100.0,0.0005
32,0.003112789501632456,100.0,0.0001601115279189168,100.0,0.0005
33,0.0018827216976898768,100.0,0.00013736613726467585,100.0,0.0005
34,0.0016152202315383554,100.0,0.00012281981420644102,100.0,0.0005
